Source,Target,Weight
Hoffenheim,Borussia Dortmund,25000000
Bristol City,Bournemouth,14800000
Bayer Leverkusen,Borussia Dortmund,25000000
Borussia Mönchengladbac,Borussia Dortmund,25500000
Groningen,Sampdoria,3700000
Rennes,Osasuna,2000000
Las Palmas,Eibar,3000000
Atlético Madri,Bayern Munich,80000000
Ajax,Barcelona,75000000
Stuttgart,Bayern Munich,35000000
Red Bull Salzburg,RB Leipzig,12250000
Red Bull Salzburg,Sevilla,15000000
Porto,Real Madrid,50000000
Fiorentina,Brentford,3170000
Chelsea,Torino,10000000
Porto,Atlético Madri,20000000
Montpellier,Huddersfield,34000000
Paderborn,Stuttgart,2550000
Hoffenheim,Bayer Leverkusen,32000000
Torino,Rennes,15000000
PEC Zwolle,Cologne,3000000
West Ham United,Mainz 05,9000000
Benfica,Wolverhampton Wanderers,33800000
Villarreal,Bologna,7500000
Villarreal,Bologna,7500000
Juventus,Verona,1100000
Sporting,Legané,3000000
Nantes,Sevilla,15000000
Augsburg,Freiburg,4000000
Wolfsburg,Charleroi,3550000
Union Berlin,Augsburg,1000000
Bayern Munich,Werder Bremen,3500000
Bayern Munich,Mainz 05,1200000
Barcelona,Eibar,2000000
Cologne,Amiens,6000000
Torino,Corinthians,1500000
Eintracht Frankfurt,Real Madrid,65000000
Juventus,Cagliari,9000000
Sassuolo,Genoa,8000000
Venezia,Genoa,3000000
Espanyol,Mainz 05,6000000
Bordeaux,Genoa,7000000
Birmingham City,Aston Villa,4500000
Palmeiras,RB Leipzig,8000000
Eintracht Frankfurt,LDU Quito,450000
Young Boys,Wolfsburg,9200000
Benfica,Eintracht Frankfurt,5000000
Hamburg,Eintracht Frankfurt,6000000
Hannover,Werder Bremen,6500000
Jahn Regensburg,Hoffenheim,1500000
Hannover,Hoffenheim,8500000
Paderborn,Schalke 04,2500000
Swansea,Manchester United,16900000
Empoli,Napoli,9600000
Nantes,Torino,4500000
Chelsea,Real Madrid,99450000
Alcorcó,Legané,1500000
Lille,Aston Villa,9000000
Ingolstadt,Wolfsburg,2000000
Borussia Dortmund,Real Sociedad,8000000
Lyon,Real Madrid,49400000
Real Betis,Levante,4000000
Toulouse,Montpellier,6000000
Standard Lièg,Southampton,15700000
Ajaccio,Metz,3000000
Nuremberg,Hertha Berlin,7000000
Santos,Real Madrid,45000000
Notts County,Tottenham Hotspur,250000
Monaco,Mainz 05,6000000
Club Brugge,Aston Villa,24750000
Tokyo FC,Real Madrid,2000000
Villarreal,West Ham United,26950000
Tigre,Alavé,2250000
Real Sociedad,Real Betis,8000000
Paris Saint-Germain,Bayer Leverkusen,15000000
Olympiakos,Reims,4000000
Red Star Belgrade,Eintracht Frankfurt,4000000
Milan,Palmeiras,4500000
Wolverhampton Wanderers,Aston Villa,3370000
Arsenal,Napoli,3930000
Hoffenheim,Nuremberg,500000
Heidenheim,Union Berlin,1000000
Gent,Cologne,3500000
Ajax,Bayer Leverkusen,5000000
Luzern,Augsburg,2500000
Red Star Belgrade,Fiorentina,1500000
Inter,Torino,2500000
Nottingham Forest,Lecce,560000
Torino,Besiktas,6700000
Juventus,Sampdoria,20000000
Juventus,Genoa,16500000
Atlético Madri,Kayserispor,3300000
Atlético Madri,Sporting CP,7500000
Cádi,Valencia,6000000
Tenerife,Valencia,2000000
Hannover,Augsburg,1900000
Paris Saint-Germain,Real Betis,22200000
Lens,Real Sociedad,4500000
